timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc
1776381184507,1291,-6501,-14983,348,-348,0,26.31,172,306,3850,58
1776381184548,1400,-6830,-15400,633,-180,43,26.31,172,306,3850,58
1776381184548,1188,-6616,-16557,774,-136,158,26.31,172,306,3850,58
1776381184588,566,-5907,-17007,952,-199,249,26.31,172,306,3850,58
1776381184588,477,-5067,-16617,1136,-122,359,26.31,172,306,3850,58
1776381184709,1054,-4082,-16371,1315,102,524,26.31,172,306,3850,58
1776381184709,1096,-3188,-16602,1502,210,721,26.31,172,306,3850,58
1776381184709,557,-2763,-16133,1636,182,902,26.31,172,306,3850,58
1776381184709,106,-2574,-15801,1629,131,1051,26.31,172,306,3850,58
1776381184709,123,-2748,-16245,1531,-6,1194,26.31,172,306,3850,58
1776381184751,931,-3454,-17531,1478,-190,1412,26.31,172,306,3850,58
1776381184751,1414,-4021,-18956,1605,-315,1675,26.31,172,306,3850,58
1776381184792,1388,-4316,-19611,1856,-219,1815,26.31,172,306,3850,58
1776381184792,1395,-4484,-19155,2008,98,1779,26.31,172,306,3850,58
1776381184832,1831,-4181,-17950,1906,444,1642,26.31,172,306,3850,58
1776381184832,2578,-3555,-16854,1603,679,1482,26.31,172,306,3850,58
1776381184832,3062,-2689,-16216,1263,718,1358,26.31,172,306,3850,58
1776381184872,2809,-1930,-16023,996,543,1274,26.31,172,306,3850,58
1776381184872,2820,-963,-15498,885,321,1222,26.31,172,306,3850,58
1776381184912,3863,-392,-15419,891,222,1230,26.31,172,306,3850,58
1776381184912,4472,32,-15756,934,238,1281,26.31,172,306,3850,58
1776381184958,4357,353,-16152,927,287,1284,26.31,172,306,3850,58
1776381184958,4075,599,-16807,865,263,1148,26.31,172,306,3850,58
1776381184999,3624,1224,-16943,709,118,876,26.31,172,306,3850,58
1776381184999,3358,1310,-16866,391,37,573,26.31,172,306,3850,58
1776381184999,3498,1345,-17540,139,111,357,26.31,172,307,3855,58
1776381185078,3664,1706,-18643,110,162,211,26.31,172,307,3855,58
1776381185078,4530,2042,-19755,208,32,67,26.31,172,307,3855,58
1776381185078,5033,1650,-20713,93,-367,-79,26.31,172,307,3855,58
1776381185078,4999,1097,-21288,-146,-461,-146,26.31,172,307,3855,58
1776381185158,5316,233,-22215,-409,-369,-136,26.31,172,307,3855,58
1776381185158,5493,-446,-23359,-543,-230,-24,26.31,172,307,3855,58
1776381185206,5098,-1365,-24631,-490,-67,84,26.31,172,307,3855,58
1776381185206,4492,-1730,-24547,-350,101,83,26.31,172,307,3855,58
1776381185206,4253,-1756,-23491,-296,283,-77,26.31,172,307,3855,58
1776381185251,4147,-2007,-22410,-460,319,-380,26.31,172,307,3855,58
1776381185251,4673,-3338,-21216,-861,212,-681,26.31,172,307,3855,58
1776381185292,4740,-4244,-20653,-1289,105,-904,26.31,172,307,3855,58
1776381185292,5012,-4765,-20046,-1494,-9,-1105,26.31,172,307,3855,58
1776381185333,5438,-5075,-19037,-1516,-56,-1239,26.31,172,307,3855,58
1776381185333,5925,-5221,-17760,-1499,-39,-1283,26.31,172,307,3855,58
1776381185373,6103,-5441,-16682,-1530,28,-1270,26.31,172,307,3855,58
1776381185373,5583,-5581,-16006,-1573,90,-1257,26.31,172,307,3855,58
1776381185373,4726,-5646,-14749,-1631,119,-1275,26.31,172,307,3855,58
1776381185413,3922,-5695,-13586,-1732,157,-1275,26.31,172,307,3855,58
1776381185414,3446,-6046,-13124,-1757,132,-1232,26.31,172,307,3855,58
1776381185456,2679,-6263,-12534,-1650,87,-1184,26.31,172,307,3855,58
1776381185456,2123,-6037,-11297,-1531,33,-1141,26.31,172,307,3855,58
1776381185497,1853,-5784,-10385,-1494,-63,-1095,26.31,172,307,3855,58
1776381185498,1507,-5387,-10218,-1482,-315,-1049,26.31,172,307,3855,58
